Timestamp,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,MP-Xylene,AT,RH,WS,WD,SR,AQI
19-06-2023,34.09,148.75,4.15,22.94,14.91,19.02,33.7,1.24,46.11,2.6,2.44,11.9,37.31,36.61,1.65,244.17,255.15,62
20-06-2023,35.2,126.7,3.57,19.67,12.74,18.97,23.13,1.14,44.06,1.91,1.75,7.92,35.11,42.13,1.67,252.83,221.88,106
21-06-2023,31.86,119.1,2.67,19.64,12.01,10.61,20.02,1.28,52.33,1.99,1.62,8.57,33.95,45.98,1.74,241.79,208.88,109
22-06-2023,34.39,112.2,2.64,22.19,13.31,16.49,31.21,1.38,39.79,2.19,1.61,8.6,30.76,58.31,1.78,210.81,126.83,106
23-06-2023,24.3,41.09,3.2,18.35,11.75,19.06,23.99,1.4,15.72,1.83,1.84,8.97,24.43,87.87,1.53,237.05,40.43,108
24-06-2023,25.33,71.31,4.36,31.62,19.62,17.54,12.1,1.68,22.42,3.52,3.49,15.03,27.19,74.45,1.5,234.23,118.53,107
25-06-2023,23.91,83.39,2.24,23.06,13.44,15.8,16.42,1.5,28.82,2.25,1.99,9.23,27.81,72.53,1.52,233.41,95.49,90
26-06-2023,16.66,46.3,3.31,17.68,11.49,22.94,8.8,1.38,24.72,1.7,1.49,8.1,25.06,85.64,1.58,244.59,92.24,68
27-06-2023,14.3,26.61,4.19,15.48,11.05,19.64,4.2,1.39,15.69,1.81,3.43,10.42,23.82,87.44,1.51,244.18,36.28,43
28-06-2023,14.5,37.52,4.6,22.54,15.06,18.65,15.91,1.53,11.75,2.14,2.27,10.56,24.9,84.27,1.46,240.46,55.07,54
29-06-2023,15.67,42.59,2.07,18.48,10.92,16.73,21.66,0.84,15.04,1.53,1.48,7.09,26.5,78.47,1.5,234.5,111.28,65
30-06-2023,11.91,39.21,2.42,14.53,9.13,16.69,18.35,0.44,19.2,1.24,1.13,5.52,27.53,71.73,1.54,238.89,132.41,54
01-07-2023,11.26,52.13,3.33,17.96,11.66,17.46,17.61,0.49,19.25,1.51,1.77,7.84,28.01,68.31,1.52,238.11,114.75,289
